,0,1,2
107,Jan 29 13:11:02 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=63650 DF PROTO=TCP SPT=50253 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A026643590000000001030300) 
108,Jan 29 13:11:05 myth sshd[12003]: Invalid user alias from ,220.195.35.40,
109,Jan 29 13:11:09 myth sshd[12005]: Invalid user annuaire from ,220.195.35.40,
110,Jan 29 13:11:13 myth sshd[12007]: Invalid user awstats from ,220.195.35.40,
111,Jan 29 13:11:17 myth sshd[12009]: Invalid user cs from ,220.195.35.40,
112,Jan 29 13:11:21 myth sshd[12011]: Invalid user emuleon from ,220.195.35.40,
113,Jan 29 13:11:22 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=37682 DF PROTO=TCP SPT=35912 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A02664B210000000001030300) 
114,Jan 29 13:11:25 myth sshd[12013]: Invalid user Melk from ,220.195.35.40,
115,Jan 29 13:11:29 myth sshd[12015]: Invalid user palex from ,220.195.35.40,
116,Jan 29 13:11:33 myth sshd[12017]: Invalid user quake from ,220.195.35.40,
117,Jan 29 13:11:37 myth sshd[12019]: Invalid user save from ,220.195.35.40,
118,Jan 29 13:11:41 myth sshd[12021]: Invalid user styx from ,220.195.35.40,
119,Jan 29 13:11:42 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=55018 DF PROTO=TCP SPT=49905 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A026652C90000000001030300) 
120,Jan 29 13:11:44 myth sshd[12023]: Invalid user toto from ,220.195.35.40,
121,Jan 29 13:11:48 myth sshd[12025]: Invalid user tuningar from ,220.195.35.40,
122,Jan 29 13:11:52 myth sshd[12027]: Invalid user Ionutz from ,220.195.35.40,
123,Jan 29 13:11:56 myth sshd[12029]: Invalid user abc from ,220.195.35.40,
124,Jan 29 13:12:00 myth sshd[12031]: Invalid user adela from ,220.195.35.40,
